Date,Open,High,Low,Close,DayCount
2013-09-30,15249.820313,15249.820313,15086.709961,15129.669922,2098.0
2013-10-01,15132.490234,15208.400391,15110.339844,15191.700195,2099.0
2013-10-02,15182.650391,15182.650391,15044.709961,15133.139648,2100.0
2013-10-03,15127.230469,15127.230469,14947.030273,14996.480469,2101.0
2013-10-04,14994.679688,15083.990234,14972.330078,15072.580078,2102.0
2013-10-07,15069.299805,15069.299805,14920.830078,14936.240234,2105.0
2013-10-08,14938.040039,14938.040039,14773.469727,14776.530273,2106.0
2013-10-09,14778.190430,14852.500000,14719.429688,14802.980469,2107.0
2013-10-10,14806.389648,15126.070313,14806.389648,15126.070313,2108.0
2013-10-11,15126.519531,15237.299805,15100.129883,15237.110352,2109.0
2013-10-14,15231.330078,15309.480469,15136.379883,15301.259766,2112.0
2013-10-15,15300.299805,15301.910156,15161.330078,15168.009766,2113.0
2013-10-16,15170.700195,15374.150391,15170.700195,15373.830078,2114.0
2013-10-17,15369.459961,15376.110352,15229.019531,15371.650391,2115.0
2013-10-18,15371.709961,15412.969727,15321.809570,15399.650391,2116.0
2013-10-21,15401.320313,15410.179688,15362.660156,15392.200195,2119.0
2013-10-22,15394.219727,15518.099609,15394.219727,15467.660156,2120.0
2013-10-23,15465.339844,15465.660156,15366.190430,15413.330078,2121.0
2013-10-24,15414.870117,15528.629883,15414.129883,15509.209961,2122.0
2013-10-25,15523.719727,15570.599609,15512.959961,15570.280273,2123.0
2013-10-28,15569.190430,15599.089844,15533.480469,15568.929688,2126.0
2013-10-29,15572.209961,15683.080078,15572.209961,15680.349609,2127.0
2013-10-30,15680.740234,15721.000000,15574.519531,15618.759766,2128.0
2013-10-31,15619.919922,15651.860352,15544.690430,15545.750000,2129.0
2013-11-01,15558.009766,15649.400391,15543.250000,15615.549805,2130.0
2013-11-04,15621.200195,15658.900391,15588.480469,15639.120117,2133.0
2013-11-05,15631.219727,15651.889648,15522.179688,15618.219727,2134.0
2013-11-06,15628.719727,15750.290039,15628.719727,15746.879883,2135.0
2013-11-07,15751.309570,15797.679688,15586.330078,15593.980469,2136.0
2013-11-08,15591.540039,15764.290039,15579.349609,15761.780273,2137.0
2013-11-11,15759.280273,15791.450195,15737.219727,15783.099609,2140.0
2013-11-12,15773.150391,15793.379883,15708.290039,15750.669922,2141.0
2013-11-13,15739.500000,15822.980469,15672.000000,15821.629883,2142.0
2013-11-14,15806.219727,15884.990234,15798.740234,15876.219727,2143.0
2013-11-15,15876.160156,15962.980469,15875.900391,15961.700195,2144.0
2013-11-18,15962.719727,16030.280273,15942.169922,15976.019531,2147.0
2013-11-19,15974.059570,16025.849609,15943.780273,15967.030273,2148.0
2013-11-20,15971.200195,16016.849609,15865.370117,15900.820313,2149.0
2013-11-21,15908.070313,16016.040039,15908.070313,16009.990234,2150.0
2013-11-22,16008.709961,16068.780273,15976.269531,16064.769531,2151.0
2013-11-25,16072.089844,16109.629883,16055.459961,16072.540039,2154.0
2013-11-26,16070.929688,16120.250000,16070.929688,16072.799805,2155.0
2013-11-27,16073.370117,16107.990234,16057.339844,16097.330078,2156.0
2013-11-29,16105.160156,16174.509766,16074.139648,16086.410156,2158.0
2013-12-02,16087.120117,16098.000000,15986.230469,16008.769531,2161.0
2013-12-03,16004.719727,16004.719727,15859.679688,15914.620117,2162.0
2013-12-04,15910.509766,15960.360352,15791.290039,15889.769531,2163.0
2013-12-05,15886.500000,15896.190430,15809.370117,15821.509766,2164.0
2013-12-06,15825.549805,16022.349609,15825.549805,16020.200195,2165.0
2013-12-09,16019.490234,16058.400391,16015.290039,16025.530273,2168.0
2013-12-10,16024.120117,16029.059570,15969.530273,15973.129883,2169.0
2013-12-11,15970.750000,15997.219727,15827.700195,15843.530273,2170.0
2013-12-12,15844.820313,15845.110352,15703.790039,15739.429688,2171.0
2013-12-13,15745.660156,15792.799805,15717.919922,15755.360352,2172.0
2013-12-16,15759.599609,15930.309570,15759.599609,15884.570313,2175.0
2013-12-17,15884.059570,15917.959961,15836.450195,15875.259766,2176.0
2013-12-18,15876.570313,16173.040039,15808.919922,16167.969727,2177.0
2013-12-19,16162.509766,16194.719727,16121.540039,16179.080078,2178.0
2013-12-20,16178.570313,16287.839844,16178.570313,16221.139648,2179.0
2013-12-23,16225.250000,16318.110352,16225.250000,16294.610352,2182.0
2013-12-24,16295.700195,16360.599609,16295.700195,16357.549805,2183.0
2013-12-26,16370.969727,16483.000000,16370.969727,16479.880859,2185.0
2013-12-27,16486.369141,16529.009766,16461.230469,16478.410156,2186.0
2013-12-30,16484.509766,16504.349609,16476.869141,16504.289063,2189.0
2013-12-31,16512.380859,16588.250000,16511.480469,16576.660156,2190.0
2014-01-02,16572.169922,16573.070313,16416.490234,16441.349609,2192.0
2014-01-03,16456.890625,16518.740234,16439.300781,16469.990234,2193.0
2014-01-06,16474.039063,16532.990234,16405.519531,16425.099609,2196.0
2014-01-07,16429.019531,16562.320313,16429.019531,16530.939453,2197.0
2014-01-08,16527.660156,16528.880859,16416.689453,16462.740234,2198.0
2014-01-09,16471.410156,16525.349609,16378.610352,16444.759766,2199.0
2014-01-10,16453.619141,16487.650391,16379.019531,16437.050781,2200.0
2014-01-13,16434.029297,16453.130859,16240.599609,16257.940430,2203.0
2014-01-14,16261.990234,16373.919922,16260.830078,16373.860352,2204.0
2014-01-15,16378.030273,16505.279297,16376.780273,16481.939453,2205.0
2014-01-16,16477.699219,16477.699219,16375.559570,16417.009766,2206.0
2014-01-17,16408.019531,16495.259766,16378.799805,16458.560547,2207.0
2014-01-21,16459.269531,16520.599609,16316.250000,16414.439453,2211.0
2014-01-22,16420.480469,16453.490234,16332.980469,16373.339844,2212.0
2014-01-23,16371.990234,16372.959961,16140.580078,16197.349609,2213.0
2014-01-24,16203.290039,16203.290039,15879.110352,15879.110352,2214.0
2014-01-27,15879.049805,15942.769531,15783.549805,15837.879883,2217.0
2014-01-28,15840.839844,15945.889648,15840.839844,15928.559570,2218.0
2014-01-29,15927.080078,15927.080078,15708.980469,15738.790039,2219.0
2014-01-30,15743.030273,15907.530273,15733.269531,15848.610352,2220.0
2014-01-31,15847.190430,15847.190430,15617.549805,15698.849609,2221.0
2014-02-03,15697.690430,15708.540039,15356.169922,15372.799805,2224.0
2014-02-04,15372.929688,15481.849609,15356.620117,15445.240234,2225.0
2014-02-05,15443.000000,15478.209961,15340.690430,15440.230469,2226.0
2014-02-06,15443.830078,15632.089844,15443.000000,15628.530273,2227.0
2014-02-07,15630.639648,15798.509766,15625.530273,15794.080078,2228.0
2014-02-10,15793.629883,15801.790039,15733.690430,15801.790039,2231.0
2014-02-11,15804.169922,16027.190430,15803.400391,15994.769531,2232.0
2014-02-12,15993.040039,16036.559570,15928.750000,15963.940430,2233.0
2014-02-13,15946.990234,16039.370117,15863.250000,16027.589844,2234.0
2014-02-14,16018.080078,16175.549805,15985.389648,16154.389648,2235.0
2014-02-18,16153.969727,16167.330078,16107.040039,16130.400391,2239.0
2014-02-19,16126.230469,16225.719727,16031.660156,16040.559570,2240.0
2014-02-20,16044.150391,16161.639648,16006.589844,16133.230469,2241.0
2014-02-21,16135.919922,16191.919922,16093.799805,16103.299805,2242.0
2014-02-24,16102.269531,16300.040039,16102.269531,16207.139648,2245.0
2014-02-25,16207.339844,16254.259766,16147.250000,16179.660156,2246.0
2014-02-26,16180.360352,16252.349609,16155.860352,16198.410156,2247.0
2014-02-27,16197.700195,16276.280273,16159.809570,16272.650391,2248.0
2014-02-28,16273.230469,16398.949219,16226.089844,16321.709961,2249.0
2014-03-03,16321.709961,16321.709961,16071.250000,16168.030273,2252.0
2014-03-04,16169.320313,16419.490234,16169.320313,16395.880859,2253.0
2014-03-05,16395.880859,16406.550781,16343.959961,16360.179688,2254.0
2014-03-06,16360.559570,16450.169922,16360.559570,16421.890625,2255.0
2014-03-07,16424.529297,16505.699219,16398.859375,16452.720703,2256.0
2014-03-10,16453.099609,16453.099609,16334.200195,16418.679688,2259.0
2014-03-11,16419.390625,16460.330078,16325.169922,16351.250000,2260.0
2014-03-12,16350.669922,16364.740234,16260.030273,16340.080078,2261.0
2014-03-13,16341.549805,16405.070313,16084.099609,16108.889648,2262.0
2014-03-14,16106.320313,16165.049805,16046.990234,16065.669922,2263.0
2014-03-17,16066.370117,16270.339844,16066.370117,16247.219727,2266.0
2014-03-18,16245.929688,16369.940430,16245.929688,16336.190430,2267.0
2014-03-19,16335.709961,16363.320313,16126.290039,16222.169922,2268.0
2014-03-20,16221.980469,16353.980469,16160.330078,16331.049805,2269.0
2014-03-21,16332.690430,16456.449219,16290.790039,16302.769531,2270.0
2014-03-24,16303.280273,16380.509766,16215.559570,16276.690430,2273.0
2014-03-25,16279.200195,16407.179688,16279.200195,16367.879883,2274.0
2014-03-26,16370.709961,16466.039063,16268.990234,16268.990234,2275.0
2014-03-27,16268.669922,16300.940430,16191.790039,16264.230469,2276.0
2014-03-28,16267.769531,16414.859375,16267.769531,16323.059570,2277.0
2014-03-31,16324.219727,16480.849609,16324.219727,16457.660156,2280.0
2014-04-01,16458.050781,16565.730469,16457.599609,16532.609375,2281.0
2014-04-02,16532.800781,16588.189453,16506.599609,16573.000000,2282.0
2014-04-03,16572.359375,16604.150391,16527.599609,16572.550781,2283.0
2014-04-04,16576.019531,16631.630859,16392.769531,16412.710938,2284.0
2014-04-07,16414.150391,16421.380859,16244.009766,16245.870117,2287.0
2014-04-08,16245.160156,16296.860352,16180.280273,16256.139648,2288.0
2014-04-09,16256.370117,16438.820313,16256.370117,16437.179688,2289.0
2014-04-10,16437.240234,16456.119141,16153.339844,16170.219727,2290.0
2014-04-11,16168.870117,16168.870117,16015.320313,16026.750000,2291.0
2014-04-14,16028.290039,16184.759766,16028.290039,16173.240234,2294.0
2014-04-15,16173.490234,16272.950195,16063.200195,16262.559570,2295.0
2014-04-16,16266.230469,16424.849609,16266.230469,16424.849609,2296.0
2014-04-17,16424.140625,16460.490234,16368.139648,16408.539063,2297.0
2014-04-21,16408.919922,16459.779297,16402.080078,16449.250000,2301.0
2014-04-22,16449.380859,16565.710938,16449.380859,16514.369141,2302.0
2014-04-23,16513.730469,16525.990234,16477.279297,16501.650391,2303.0
2014-04-24,16503.390625,16541.259766,16452.300781,16501.650391,2304.0
2014-04-25,16503.259766,16503.259766,16333.780273,16361.459961,2305.0
2014-04-28,16363.200195,16500.369141,16312.660156,16448.740234,2308.0
2014-04-29,16451.179688,16559.390625,16451.179688,16535.369141,2309.0
2014-04-30,16534.859375,16592.279297,16510.869141,16580.839844,2310.0
2014-05-01,16580.259766,16604.789063,16525.250000,16558.869141,2311.0
2014-05-02,16562.339844,16620.060547,16488.310547,16512.890625,2312.0
2014-05-05,16509.750000,16547.919922,16377.089844,16530.550781,2315.0
2014-05-06,16529.849609,16529.849609,16399.990234,16401.019531,2316.0
2014-05-07,16401.660156,16522.939453,16357.349609,16518.539063,2317.0
2014-05-08,16518.160156,16622.949219,16502.009766,16550.970703,2318.0
2014-05-09,16551.230469,16588.769531,16498.710938,16583.339844,2319.0
2014-05-12,16584.820313,16704.839844,16584.820313,16695.470703,2322.0
2014-05-13,16695.919922,16735.509766,16695.919922,16715.439453,2323.0
2014-05-14,16716.080078,16717.560547,16595.000000,16613.970703,2324.0
2014-05-15,16613.519531,16622.900391,16397.460938,16446.810547,2325.0
2014-05-16,16447.320313,16498.990234,16414.320313,16491.310547,2326.0
2014-05-19,16490.349609,16526.259766,16442.119141,16511.859375,2329.0
2014-05-20,16511.220703,16511.220703,16341.299805,16374.309570,2330.0
2014-05-21,16376.169922,16544.599609,16376.169922,16533.060547,2331.0
2014-05-22,16532.740234,16565.390625,16489.609375,16543.080078,2332.0
2014-05-23,16544.490234,16613.070313,16544.490234,16606.269531,2333.0
2014-05-27,16607.419922,16688.689453,16607.419922,16675.500000,2337.0
2014-05-28,16674.980469,16674.980469,16620.220703,16633.179688,2338.0
2014-05-29,16637.740234,16698.740234,16620.429688,16698.740234,2339.0
2014-05-30,16697.330078,16721.220703,16648.849609,16717.169922,2340.0
2014-06-02,16716.849609,16756.640625,16682.070313,16743.630859,2343.0
2014-06-03,16736.699219,16736.699219,16690.009766,16722.339844,2344.0
2014-06-04,16720.000000,16742.910156,16673.650391,16737.529297,2345.0
2014-06-05,16739.140625,16845.810547,16709.949219,16836.109375,2346.0
2014-06-06,16839.640625,16924.279297,16839.640625,16924.279297,2347.0
2014-06-09,16926.080078,16970.169922,16912.919922,16943.099609,2350.0
2014-06-10,16940.400391,16946.339844,16897.439453,16945.919922,2351.0
2014-06-11,16943.160156,16943.160156,16821.849609,16843.880859,2352.0
2014-06-12,16840.480469,16841.570313,16703.730469,16734.189453,2353.0
2014-06-13,16734.640625,16787.890625,16718.599609,16775.740234,2354.0
2014-06-16,16765.560547,16802.140625,16722.859375,16781.009766,2357.0
2014-06-17,16779.210938,16823.550781,16732.910156,16808.490234,2358.0
2014-06-18,16806.119141,16911.410156,16755.289063,16906.619141,2359.0
2014-06-19,16909.900391,16923.429688,16858.880859,16921.460938,2360.0
2014-06-20,16920.619141,16978.019531,16920.619141,16947.080078,2361.0
2014-06-23,16946.500000,16954.269531,16896.089844,16937.259766,2364.0
2014-06-24,16934.619141,16969.699219,16805.230469,16818.130859,2365.0
2014-06-25,16817.679688,16883.539063,16799.410156,16867.509766,2366.0
2014-06-26,16866.810547,16872.519531,16746.089844,16846.130859,2367.0
2014-06-27,16846.900391,16862.730469,16773.839844,16851.839844,2368.0
2014-06-30,16852.490234,16871.269531,16801.939453,16826.599609,2371.0
2014-07-01,16828.529297,16998.699219,16828.529297,16956.070313,2372.0
2014-07-02,16949.710938,16986.630859,16949.710938,16976.240234,2373.0
2014-07-03,16979.000000,17074.650391,16979.000000,17068.259766,2374.0
2014-07-07,17063.830078,17063.830078,16992.449219,17024.210938,2378.0
2014-07-08,17022.089844,17022.089844,16874.789063,16906.619141,2379.0
2014-07-09,16916.830078,16998.949219,16913.810547,16985.609375,2380.0
2014-07-10,16980.349609,16980.349609,16805.380859,16915.070313,2381.0
2014-07-11,16918.310547,16949.460938,16860.300781,16943.810547,2382.0
2014-07-14,16950.929688,17088.429688,16950.929688,17055.419922,2385.0
2014-07-15,17055.029297,17120.339844,17006.390625,17060.679688,2386.0
2014-07-16,17061.910156,17139.349609,17061.910156,17138.199219,2387.0
