,Edition,Athlete,NOC,Medal
2107,1912,"ADAMS, Benjamin W.",USA,Silver
2108,1912,"KOVACS, Mor",HUN,Bronze
2109,1912,"LEMMING, Eric",SWE,Gold
2110,1912,"SAARISTO, Juho Julius",FIN,Silver
2111,1912,"PELTONEN, Urho Pellervo",FIN,Bronze
2112,1912,"SAARISTO, Juho Julius",FIN,Gold
2113,1912,"SIIKANIEMI, Väinö",FIN,Silver
2114,1912,"ABERG, Georg",SWE,Bronze
2115,1912,"GUTTERSON, Albert Lovejoy",USA,Gold
2116,1912,"BRICKER, Calvin David",CAN,Silver
2117,1912,"ADAMS, Benjamin W.",USA,Bronze
2118,1912,"TSICLITIRAS, Konstantinos",GRE,Gold
2119,1912,"ADAMS, Platt",USA,Silver
2120,1912,"STROBINO, Gaston",USA,Bronze
2121,1912,"MCARTHUR, Kennedy Kane",RSA,Gold
2122,1912,"GITSHAM, Christian W.",RSA,Silver
2123,1912,"LUKEMAN, Frank",CAN,Bronze
2124,1912,"BIE, Ferdinand Reinhardt",NOR,Gold
2125,1912,"THORPE, Jim",USA,Gold
2126,1912,"DONAHUE, James Joseph",USA,Silver
2127,1912,"HAPPENNY, William",CAN,Bronze
2128,1912,"MURPHY, Frank Dwyer",USA,Bronze
2129,1912,"UGGLA, Bertil",SWE,Bronze
2130,1912,"BABCOCK, Harry Stoddard",USA,Gold
2131,1912,"NELSON, Frank Thayer",USA,Silver
2132,1912,"WRIGHT, Marc Snowell",USA,Silver
2133,1912,"WHITNEY, Laurence Atwood",USA,Bronze
2134,1912,"MCDONALD, Patrick",USA,Gold
2135,1912,"ROSE, Ralph",USA,Silver
2136,1912,"NIKLANDER, Elmer Konstantin",FIN,Bronze
2137,1912,"ROSE, Ralph",USA,Gold
2138,1912,"MCDONALD, Patrick",USA,Silver
2139,1912,"ALMLÖF, Erik",SWE,Bronze
2140,1912,"LINDBLOM, Gustav",SWE,Gold
2141,1912,"ABERG, Georg",SWE,Silver
2142,1912,"SCHUTTE, Carl Otto",USA,Bronze
2143,1912,"LEWIS, Rudolph",RSA,Gold
2144,1912,"GRUBB, Frederick Henry",GBR,Silver
2145,1912,"KRUSHEL, Albert",USA,Bronze
2146,1912,"LOFTES, Alvin Hjalmar",USA,Bronze
2147,1912,"MARTIN, Walter C.",USA,Bronze
2148,1912,"SCHUTTE, Carl Otto",USA,Bronze
2149,1912,"FRIBORG, Erik",SWE,Gold
2150,1912,"LÖNN, Algot",SWE,Gold
2151,1912,"MALM, Ragnar",SWE,Gold
2152,1912,"PERSSON, Axel Wilhelm",SWE,Gold
2153,1912,"GRUBB, Frederick Henry",GBR,Silver
2154,1912,"HAMMOND, William Robert",GBR,Silver
2155,1912,"MEREDITH, Leonard Lewis",GBR,Silver
2156,1912,"MOSS, Charles",GBR,Silver
2157,1912,"VON BLIXEN-FINECKE, Hans",SWE,Bronze
2158,1912,"BONDE, Carl",SWE,Gold
2159,1912,"BOLTENSTERN, Gustaf-Adolf",SWE,Silver
2160,1912,"CARIOU, J",FRA,Bronze
2161,1912,"NORDLANDER, Axel",SWE,Gold
2162,1912,"VON ROCHOW, Friedrich Leopold Harry",GER,Silver
2163,1912,"GRAHAM, Ephraim Foster",USA,Bronze
2164,1912,"HENRY, Guy Verner",USA,Bronze
2165,1912,"LEAR, Benjamin",USA,Bronze
2166,1912,"MONTGOMERY, John Carter",USA,Bronze
2167,1912,"ADLERCREUTZ, Nils",SWE,Gold
2168,1912,"CASPARSSON, Ernst",SWE,Gold
2169,1912,"HORN AF AMINNE, Henric",SWE,Gold
2170,1912,"NORDLANDER, Axel",SWE,Gold
2171,1912,"VON LÜTSCKEN, Eduard",GER,Silver
2172,1912,"VON MOERS, Henrich",GER,Silver
2173,1912,"VON ROCHOW, Friedrich Leopold Harry",GER,Silver
2174,1912,"VON SCHAESBERG-TANNHEIM, Rudolf Graf",GER,Silver
2175,1912,"DE BLOMMAERT DE SOYE, Emmanuel",BEL,Bronze
2176,1912,"CARIOU, J",FRA,Gold
2177,1912,"VON KRÖCHER, Rabod Wilhelm",GER,Silver
2178,1912,"DELOCH, Ernst Hubertus",GER,Bronze
2179,1912,"FREYER, Sigismund",GER,Bronze
2180,1912,"VON HOHENAU, Wilhelm",GER,Bronze
2181,1912,"VON PREUSSEN, Friedrich Karl",GER,Bronze
2182,1912,"KILMAN, Gustaf",SWE,Gold
2183,1912,"LEWENHAUPT, Carl Gustaf",SWE,Gold
2184,1912,"ROSENCRANTZ, Frederik",SWE,Gold
2185,1912,"VON ROSEN, Hans",SWE,Gold
2186,1912,"CARIOU, J",FRA,Silver
2187,1912,"DUFOURT D'ASTAFORT, Michel",FRA,Silver
2188,1912,"MEYER, Bernard",FRA,Silver
2189,1912,"SEIGNER, Albert",FRA,Silver
2190,1912,"LE HARDY DE BEAULIEU, Philippe",BEL,Bronze
2191,1912,"ANSPACH, Paul",BEL,Gold
2192,1912,"OSIIER, Ivan Joseph Martin",DEN,Silver
2193,1912,"DE JONG, Adrianus Egbertus Willem",NED,Bronze
2194,1912,"DOORMAN, Jetze",NED,Bronze
2195,1912,"SALOMONSON, Leonardus",NED,Bronze
2196,1912,"VAN BLIJENBURGH, Willem Peter Hubert",NED,Bronze
2197,1912,"VAN ROSSEM, George",NED,Bronze
2198,1912,"ANSPACH, Henri",BEL,Gold
2199,1912,"ANSPACH, Paul",BEL,Gold
2200,1912,"DE MONTIGNY, Fernand",BEL,Gold
2201,1912,"HENNET, Robert",BEL,Gold
2202,1912,"OCHS, Jacques",BEL,Gold
2203,1912,"ROM, François",BEL,Gold
2204,1912,"SALMON, Gaston C.J.M.",BEL,Gold
2205,1912,"WILLEMS, Victor",BEL,Gold
2206,1912,"AMPHLETT, Edgar Montague",GBR,Silver
2207,1912,"BLAKE, John Percy",GBR,Silver
2208,1912,"DAWSON, Percival May",GBR,Silver
2209,1912,"EVERITT, Arthur Francis G.",GBR,Silver
2210,1912,"HOLT, Martin Drummond",GBR,Silver
2211,1912,"MARTINEAU, Sydney",GBR,Silver
2212,1912,"MONTGOMERIE, Robert Cecil",GBR,Silver
2213,1912,"SELIGMAN, Edgar Isaac",GBR,Silver
2214,1912,"VERDERBER, Richard",AUT,Bronze
2215,1912,"NADI, Nedo",ITA,Gold
2216,1912,"SPECIALE, Pietro",ITA,Silver
2217,1912,"MESZAROS, Ervin",HUN,Bronze
2218,1912,"FUCHS, Jenö",HUN,Gold
2219,1912,"BEKESSY, Béla",HUN,Silver
2220,1912,"DE JONG, Adrianus Egbertus Willem",NED,Bronze
2221,1912,"DE JONGH, Hendrik Egb. Willem",NED,Bronze
2222,1912,"DOORMAN, Jetze",NED,Bronze
2223,1912,"SCALONGNE, Dirk",NED,Bronze
2224,1912,"VAN BLIJENBURGH, Willem Peter Hubert",NED,Bronze
2225,1912,"VAN ROSSEM, George",NED,Bronze
2226,1912,"BERTI, Laszlo",HUN,Gold
2227,1912,"FÖLDES, Deszö",HUN,Gold
2228,1912,"FUCHS, Jenö",HUN,Gold
2229,1912,"GERDE, Oskar",HUN,Gold
2230,1912,"MESZAROS, Ervin",HUN,Gold
2231,1912,"SCHENKER, Zoltan",HUN,Gold
2232,1912,"TOTH, Peter",HUN,Gold
2233,1912,"WERKNER, Lajos",HUN,Gold
2234,1912,"BOGEN, Albert",AUT,Silver
2235,1912,"CVETKO, Rudolf",AUT,Silver
2236,1912,"GOLLING, Friedrich",AUT,Silver
2237,1912,"HERSCHMANN, Otto",AUT,Silver
2238,1912,"SUTTNER, Andreas",AUT,Silver
2239,1912,"TRAMPLER, Reinhold",AUT,Silver
2240,1912,"VERDERBER, Richard",AUT,Silver
2241,1912,"BOUVY, Nicolaas Jan Jerome",NED,Bronze
2242,1912,"DE GROOT, Henri Franciscus",NED,Bronze
2243,1912,"DE KORVER, Johannes Marius",NED,Bronze
